category,text
entertainment,berlin cheer anti nazi film german movi anti nazi resistanc heroin draw loud applau berlin film festiva sophi scholl fina day portray fina day member whit ro movement scholl arrest behead brother han distribut leaflet condemn abhorrent tyranni adolf hitler director marc rothemund said feel responsib keep legacus scholl go must somehow keep idea aliv ad film draw transcript gestapo interrog scholl trial preserv archiv communist east germani secret polic discoveri inspirat behind film rothemund work closeli surviv rel includ one scholl sister ensur historic accuracus film scholl member whit ro resistanc group first start distribut anti nazi leaflet summer arrest drop leaflet munich univer call day reckon adolf hitler regim film focus six day scholl arrest inten trial saw scholl initia deni charg end defiant appearanc one three german film vie top priz festiva south african film version bizet tragic opera carman shot cap town xhosa languag also premier berlin festiva film entit u carman ekhayelitsha carman khayelitsha township stori set perform strong music theatr troup debut film performanc film first south african featur year second nominat golden bear award
business,virgin blue shar plummet shar australian budget airlin virgin blue plung warn steep fall full year profit virgin blue said profit tax year march would lower previou year sluggish demand report previousli november december continu said virgin blue chief execut brett godfrey virgin blue own richard branson struggl fend pressur riva jetstar cut full year passenger number forecast approxim virgin blue report fall first quarter profit august due tough competi november first half profit due slack demand ris fuel cost virgin blue launch four year ago roughli one third australia domestic airlin market nat carrier qanta fought back budget airlin jetstar take ski may sydney list virgin blue shar recover slightli clo wednesday shar major sharehold patrick corporat own virgin blue drop clo
business,crud oil pric back cold weather across part unit stat much europ push us crud oil pric barre first tim almost three month freez temperatur heavi snowfal increa demand heat fuel us stock low fresh fall valu dollar help carri pric mark first tim sinc november barre us crud oil clo new york tuesday opec member said tuesday saw reason cut output although last year peak barre reach october pric well averag brent crud also ro london trad ad clo much western europ north east america shiver unseason low temperatur recent day declin us dollar fiv week low euro also serv inflat pric dollar mov sharpli overnight oil follow said chri furness senior market strategist cast dollar continu weaken oil obviousli high severa opec member said cut production unlik cit ris pric strong demand oil asia agree need cut suppli pric much fathi bin shatwan libya oil minister told reuter think need cut unless pric fall barre ad opec closeli watch globa stock ensur excessiv suppli market arriva spring northern hemispher focu attention stockpi us crud gasolin high tim last year heavi stockpi could help forc pric lower demand ease
politics,hagu give pm ambition former conserv leader william hagu say stand leadership give ambition prim minister mr hagu told daili telegraph would find lif dominat politic bor unfulfil mr hagu step parto election defeat rul return front bench also told paper hop remain mp richmond north york start famili wif ffion mr hagu recentli publish biographi william pitt young also said want continu writ book speech writ told newspaper know whether ever go back front rush ask would stand leadership mr hagu repli definit determin stay away centra rol disappoint senior conserv member say parto need tim collin shadow educat secretari said last week would hug boost parto mr hagu return front bench mr hagu becam mp leader opposi said feel fortunat age cram entir politic career cabinet leader parto branch thing liberat feel mr hagu ad may misjudg ambition prim minister mayb wasn drive politic thought said
sport,moya emotion davi cup win carlo moya describ spain davi cup victori highlight career beat andi roddick end usa challeng sevil moya mad miss spain victori injuri beat roddick giv host unassai lead wake mani night dream day said moya energus focus today liv today think liv spain davi cup titl cam two year ago valencia beat australia moya nicknam charli admit davi cup dream bit nervou outset peopl said obsess think better way help reach goal obsess realli incredib get win point realli someth spanish captain jordi arre said charli play great gam opportun hasn let us lost three tim roddick day beat wait year position spain victori also remarkab performanc rafa nada beat roddick open singl ag year day mallorcan becam young player win davi cup great way finish year said nada afterward us coach patrick mcenro want roddick rest team play tenni clay hon skill surfac think help guy even slow hard court learn mix thing littl bit play littl bit smart tactic better obviousli unrealist say re go start play constantli clay schedu certainli think put work appropriat tim play coupl event play guy best stuff said mcenro roddick left frustrat lo singl slow clay sevil olympic stadium tough felt lik whol tim one top three clay courter world said american chanc didn convert bottom lin better us weekend cam take car busi beat us simpl
business,korean credit card firm rescu south korea large credit card firm avert liquidat follow one trillion win m m bail lg card threaten collap hug debt firm creditor former parent step rescu consortium creditor lg group famili own conglomer put m stabilis firm lg card seven million customer collap would sent shockwav countri economi firm creditor lg card try agree deal secur futur severa week take contro compani januari avoid bankruptcus bn bail threaten delist compani mov would trigger massiv debt redemption forc compani bankruptcus unless agreement reach futur fund lg card need financia aid laah chong gyu execut director korea develop bank one firm creditor said agreement see trillion win debt convert equiti purpos capita injection avoid delist goal met david kim analyst sejong securiti told reuter south korea consumer credit market slowli recover crisi credit bubbl burst million consumer fell behind debt repayment lg card return profit september need capita avoid throw market south korea stock exchang delist firm debt exceed asset two year run
politics,howard back stem cell research micha howard back stem cell research say important peopl frighten futur controversi issue featur recent us presidenti election georg bush oppo extend tori leader argu mora ca embrac scienc could help victim alzheimer parkinson motor neuron diseas believ duti offer hop million peopl suffer devastat illness said use embryonic stem cell uk alreadi allow stem cell master cell able develop bodi tissu type scientist hop grow cell laboratori programm form specific tissu kidney heart even brain tissu mr howard acknowledg genuin concern stem cell research argu mustn frighten chang nostalgic past must optimist futur politician must creat right framework great potentia scienc harness benefit mankind lif expectanc averag briton around mid societi responsib enhanc qualiti peopl liv grow old know mani peopl concern stem cell research fearfu meddl see stuff soul respect concern also believ duti offer hop million peopl suffer devastat illness lik parkinson multip sclerosi motor neuron diseas alzheimer saw paper today possibli heart problem mr howard acknowledg easi answer issue necessari courag know moralli right ad cour stem cell still recent discoveri research need don must look potentia responsib grown way hop million peopl rest could achiev former superman actor lat christopher reev advocat research paraly hor rid accident mr howard mad remark speech westminster conserv nat woman committe ambition valu
sport,connor boost british tenni former world number one jimmi connor plan long term relationship lawn tenni associat help unearth next tim henman american spent three day lta annuum elit performanc winter camp la manga early week britain right attitud said connor involv lta better short term arring confus kid ask lta chief execut john crowther ad relationship jimmi alreadi start develop coach player said us  lik want use jimmi number week year hop begin good long term relationship camp play host lead senior junior player includ greg rusedski arvind parmar anne keothavong la manga amaz sit tak bunch kid want best said connor speak queen club london impress coach way kid go workout feel put everi practic interest see kid desir passion brought coach surround instil importanc work practic someth buy know give giv back effort everi minut practic speak la manga lta performanc director david felgat told bbc sport jimmi fantastic player coach humbl consider achiev work coach hopefulli grow ll get individu relationship player get know mad clear word go didn want short term week year job lif passion coach respect want involv real input would stak reputat someth go success connor also agree commentat bbc next year wimbledon championship work second week tournament
business,japane bank battl end japan sumitomo mitsui financia withdraw takeover offer riva bank ufj hold enab latter merg mitsubishi tokyo sumitomo boss told counterpart ufj decision friday clear way conclud trillion yen bn deal mitsubishi deal would creat world big bank asset trillion yen trillion sumitomo exit end high profi fight japane bank histori ufj hold japan fourth large bank centr fierc bid battl last year sumitomo japan third large bank tabl high offer ufj riva valu compani bn however ufj manag know prefer offer mitsubishi tokyo financia group mtfg japan second large bank concern also rais sumitomo able absorb ufj former admit defeat believ market investor accept ufj mtfg merger sumitomo said statement give ongo integrat ufj mtfg operat persist proposa may best interest sharehold ufj mitsubishi takeover ufj japan large ever takeover deal still approv sharehold two firm however expect forma sumitomo may turn attention deepen ti daiwa securiti another japane financia firm two set merg ventur capita operat speculat could lead full blow merger japane bank increasingli seek allianc boost profit
tech,gam maker fight surviva one britain large independ gam maker argonaut gam put sal london ba compani behind harri potter gam sack employe due sever cash crisi administr told bbc new onlin sell argonaut way sav run cash argonaut warn low cash day ago shar suspend trad london stock exchang argonaut mak gam year one large independ gam develop uk along headquarter north london operat studio cambridg sheffield argonaut behind harri potter gam provid healthi flow cash compani lik softwar develop argonaut need constant flow deal publisher sign troubl emerg august warn head loss m financia year due delay sign new contract gam new deal delay lead argonaut warn mid october run cash suspend trad shar london stock exchang part cost cut measur employe fir new m loss cam know go redundanc said jason parkinson one gam develop sack argonaut lot peopl suspect argonaut troubl tim told bbc new onlin mr parkinson said staff told job loss necessari sav argonaut go start year compani employ peopl late round cut staff argonaut headquarter edgwar north london morphem offic kentish town london add monster ba cambridg argonaut call administr david rubin partner friday find way rescu compani collap spent weekend go compani financ conclud way sav busi put sal administr told bbc new onlin cost restructu would high partli overhead compani four premi across uk said hop could sav job sell busi say expression interest severa quarter look quick sal administr said would ensur staff mad redundant would receiv wag redundanc holiday pay due hopefulli christma
tech,securiti warn fbi viru us federa bureau investig warn computer viru spread via e mail purport fbi e mail show com fbi gov address tell recipient access illega websit messag warn internet use monitor fbi internet fraud complaint center attachment e mail contain viru fbi said messag ask recipient click attachment answer question internet use rather questionnair attachment contain viru infect recipient computer accord agencus clear viru infect computer user warn never open attachment unsolicit e mail peopl know recipient similar solicit know fbi engag practic send unsolicit e mail public manner fbi said statement bureau investig phoney e mail agencus early month shut fbi gov account us communic public securiti breach spokeswoman said two incident appear unrelat
tech,halo herald traffic explosion grow popular onlin gam could spell problem net servic firm warn network monitor compani sandvin issu warn follow analysi show traffic xbox gam network increa fourfold launch day halo november traffic explosion continu december said sandvin servic provider need mak sur network cop increa demand bandwidth well popular singl player titl halo connect microsoft subscription ba broadband network xbox liv gamer want play onlin creat clan team tak other see well compar surg number hug demand bandwidth wak call industri must ensur network cop increa traffic said sandvin chief technologus officer marc morin bid cop ease congestion provider increasingli mak network intellig find us bandwidth could becom common charg peopl amount bandwidth use explosion xbox liv traffic attribut halo see clarion call said isp need enhanc broadband experienc high end user prioritis reserv bandwidth gam ad one main factor spoil onlin gam lag noticeab delay gamer click mous keyboard happen onlin gam world gamer tend migrat toward network low lag analy traffic becom increasingli important servic provider hold bandwidth hungri gamer said lindsay schroth analyst research firm yanke group competit broadband environ operat need differenti way offer access servic lik liv play gam said countri korea high leve fast net connection hom onlin gam hugeli popular
sport,bat seal takeover ken bat complet takeover leed unit year old former chelsea chairman seal deal gmt friday bought stak club said m delight step mante fantastic club recogni leed great club fall hard tim lot hard work ahead get club back belong premiership help fan everyth bat bought stak guis geneva ba compani know forward sport fund revea part plan buy back leed elland road stadium thorp arch train ground due cour go tough jon first task stabilis cash flow sort remain creditor bat ad light end long tunne past year matter firefight start run club outgo leed chairman gerald krasner said deal ensur medium long term surviva club believ mr bat proposa totalli benefit club content mr bat leed unit continu consolid mov forward take leed unit march club debt m sinc dat board succeed reduc debt m work tirelessli solv problem leed unit eighti percent problem alreadi overcom cam agreement mr bat secur ongo success krasner revea consortium ask remain background club undisclo period help ensur smooth hand stay unpaid capaciti peter lorimer continu rol director point contact fan peter mccormick serv consultant incom board outgo director agree leav loan m compani next four year leed new look board understand lorimer join former chelsea financ director yvonn todd bat lawyer mark taylor krasner refus giv detai financ involv takeover told bbc fiv liv go figur ken want giv tell money us dea l money current board last four month never saw chequ week one person stretch figur discuss interna arring bat step chelsea chairman march last year follow roman abramovich m takeover stamford bridg may mad proposa invest m sheffield wednesday reject club sebastien sainsburi clo takeover leed withdraw m offer last week effort fail revea would tak m stag takeover club also lo m next six month club brink administr deduction point footbal leagu bat arriva investment spar prospect
sport,col fac lengthi injuri lay aston villa carlton col could six week knee injuri striker season long loan chelsea pick knock england match holland early month carlton action four six week bad challeng said villa boss david o leari win able tell whether need operat mayb next week whether operat got left chelsea col also struggl ankle problem early season unab rest o leari shortag striker return fitness dariu vassel four month broken ankle emergenc luk moor alleviat villa manager problem department
tech,mobi audio enter new dimension mobi phon mov close ubiquitou one media player audio becom ever important good sound small devic sound buzz bee jump left right disappear around back head surround sound demo unremark heard multo speaker hom cinema system startl emerg small mobi phon british firm sonaptic one number compani develop  audio technologus emerg stereo speaker firm am sr offer stereo widen technologus mobi phon sonaptic manag director david monteith say firm compani offer position  audio mobi quit basic technologus mak sound seem bit big headphon bit nice one realli tri mak proper  position audio individu channe mov around sonaptic work japane mobi network ntt docomo set standard  audio mobi phon last month handset nec fujitsu mitsubishi relea japane marker chip produc yamaha rohm sonaptic technologus technologus around pc gam conso tim mak efficient go small consumer devic lik mobi phon said mr monteith technologus work appli scienc psychoacoustic grow medic research don compani research director dr alastair sibbald basic try fool ear think sound com area actualli isn brain use certain bit informat effectiv synthesis mobi phon handset structur ear work  encoder sound help brain understand sound emanat sonaptic audio process algorithm mimic  encod giv impression sound com left right behind listener fact com singl sourc mr montieth say sound one sid get one ear right bend around head get left ear shap ear cau differenc sound one ear synthesis differenc sonaptic hop technologus big impact grow market mobi gam music download handheld often limitat screen small defini want get impact media run either movi gam watch tv want immersiv technologus help fish gam first titl use technologus creat  sound field gamer play driv gam shoot em up us technologus develop technologus also us music giv song much expansiv immersiv feel sonaptic offer technologus chip softwar relea new version significantli improv efficienc audio process important use processor otherwis win able play gam handset explain mr montieth compani look us european market work network vodafon focus first japan advanc mobi phon market know japan would first plac handset could use technologus handset uk next six month
sport,moya fight back indian titl carlo moya becam first man successfulli defend chennai open titl beat four tim finalist paradorn srichaphan spaniard donat priz money relief effort victim asian tsunami fina clo throughout thai second seed srichaphan winner clo first set moya take second set bounc back decider forc win tie break moya confirm afterward m donat priz money tournament tsunami victim hop mak differenc liv contribu follow pledg four player donat priz money tournament go ahead december disaster far claim least liv scrichapan said would donat unspecifi amount relief work thailand peopl kill atp announc would contribut us tournament fee unicef emergenc relief fund tamus nadu atp tour sponsor merce said would also contribut increa atp donat us
entertainment,career honour actor dicaprio actor leonardo dicaprio exception career honour santa barbara internat film festiva star present award martin scorse direct oscar nominat movi aviat lifetim achiev award complet utterli surrea give m year old dicaprio said almost year ve don quit film retrospect movi show realli excit realli lov ad want rest lif dicaprio begin movi career horror film critter mov onto rol basketbal diari romeo juliet titanic gang new york achiev award creat commemor california festiva th anniversari coincid dicaprio portraya millionair howard hugh aviat veteran actress jan russel star hugh film outlaw said impress dicaprio quest authentic previousli discuss rol happi dicaprio cam car com find hugh realli lik said aviat taken pol position year oscar rac nominat includ nominat best film best actor dicaprio best director scorse
tech,mobi gig aim rock g forget go crowd bar enjoy gig late darling music press could also liv gig mobi via late third generat g video phon rock outfit rooster play bill first ever concert broadcast phon tuesday even london venu minut gig due phon cast g mobi phon operat g technologus let peopl tak watch send video clip phon well swap data much fast g network lik gsm peopl g phon uk alreadi download footbal music clip handset fan london ba band pay fiv pound ticket need g handset paid com go much lik expect customer mobi said spokesperson belinda henderson lik go concert hall except virtualli compani behind trial hop learn peopl use video phon look long peopl stay averag stream peopl may stay whol tim may dip said m henderson actualli expect peopl dip mobi thing look music way persuad peopl tak late video phon alreadi plan regular gig throughout intermi cour would still able mak phon call
politics,terror suspect fac hous arrest uk citizen suspect involv terrorism could fac hous arrest part seri new measur outlin hom secretari com law lord rul detention foreign terror suspect without trial breach human right charl clark plan contro order mean anyon suspect involv terrorism could subject hous arrest curfew tag law societi dub mr clark new proposa abus power deal alreadi sought deport foreign detaine mainli held belmarsh prison london current law introduc us terror attack september mr clark said effort would continu deport countri origin algeria tunisia egypt jordan without fac tortur death propos chang prompt hous lord rul hom secretari could order british citizen foreign suspect could deport fac hous arrest measur restriction movement limit use telephon internet british citizen includ chang law lord said current power discriminatori could us foreign suspect mr clark also said intellig report show british nat play signific rol terror threat human right lawyer cliv stafford smith said plan abus human right britain mr clark said prosecu government first preferenc promi power would us seriou ca independ scrutini judg told mp remain public emergenc threaten lif nation accept law lord rul argu detention power help prevent attack deter terrorist current detaine would free new power plac still consider nat securiti threat told mp call rul wir tap intercept evidenc allow us court mr clark refus back chang said intercept evidenc small part ca man could us could put sourc liv risk terror suspect held indefinit belmarsh prison london conserv shadow hom secretari david davi worri extend specia power cover british citizen warn throughout histori internment genera backfir resentment creat unless process clearli hom secretari could find confin one know terrorist recruit unknown terrorist suggest chang law let securiti clear judg view evidenc gather phon tap could allow terror ca com court libera democrat spokesman mark oaten also back use wir tap evidenc said standard proof new power would high indee ask whether minister look measur fit human right law shami chakrabarto human right group liberto join call intercept evidenc allow trial said adherenc rul law gam cat mous government swap one human right opt another
entertainment,halloween writer debra hill di screenwriter producer debra hill best know work horror classic halloween di lo ange ag hill suffer cancer co wrot film star jami lee curto babysitter terroris psychopath direct john carpenter mad m m worldwid record independ film tim hill also work carpenter escap new york fog born new jersey hill begin career production assistant work way rank becom assistant director second unit director begin collabor carpenter regard mani pioneer woman film tak job commonli taken man back start woman industri said assum mak hair person script person never assum writer producer take look around reali weren mani woman carv nich carpenter said work hill one great experienc lif ground trailblaz begin follow anyon incredibli capab talent said carpenter hill collabor number halloween seque includ halloween ii halloween resurrec halloween cur micha myer later career hill form production compani friend lynda obst mak string hit film includ oscar nomine fisher king teen comedi adventur babysit film includ stephen king adaptat dead zon clue comedi ba board gam cluedo pursu work tv although reunit carpenter escap la seque escap new york tim death work film last two man pull rubbl twin tower follow september terror attack also co produc remak fog due relea earli next year
politics,roya coupl watch nation mood princ charl camilla park bowl await nation reaction announc marri apri mr park bowl tak titl hrh duchess cornwal civi ceremoni held windsor castl daili telegraph poll peopl suggest two third briton support coupl decision marri think mr park bowl becom princess consort plan charl becom king believ titl think becom queen poll also found majoriti briton would prefer monarchi miss generat queen hand thron grandson princ william death abdic thursday night princ charl mr park bowl host dinner windsor castl first public appearanc sinc announc engag mr park bowl said princ go one knee propos ad m com earth display diamond engag ring roya famili heirloom reporter charl said wif absolut delight marriag end year speculat relationship dat back queen duk edinburgh said new mad happi princ william harri said happi wish coupl luck futur wed civi ceremoni follow servic prayer dedic st georg chape archbishop canterburi dr rowan william presid marriag likeli sensitiv issue mr park bowl divorc former husband still aliv becam king charl would suprem governor church england anglican remain oppo remarriag divorce divorc diana disappoint countri felt diana treat open sen disillusion princ charl said ro coward wrot authoris biographi diana princess wal archbishop canterburi said plea princ charl mr camilla park bowl decid tak important step toni blair said delight coupl offer congratu conserv leader micha howard libera democrat leader charl kennedi australia prim minister john howard also offer congratu ad decision marri sensib good thing mr park bowl join princ numerou engag recent year mostli even event princ trust clarenc hous staff pain point attend event privat capaciti
tech,firefox browser tak microsoft microsoft internet explorer seriou riva long await firefox web browser relea peopl get excit new softwar relea especia program gam music movi player relea first full version firefox manag drum respectab amount pre launch fervour fan softwar band together rais cash pay advert new york tim announc version browser availab relea firefox november might even cau head turn microsoft program steadili win peopl away softwar giant internet explorer browser firefox creat mozilla foundat start former browser maker netscap back much develop work don sinc gon firefox mad first appearanc nam februari early incarnat cor technologus call phoenix firebird sinc softwar gain prais convert least larg number securiti problem com light microsoft internet explorer riva ie got boost lat jun two us computer securiti organi warn peopl avoid microsoft program avoid fall victim seriou vulnerab internet monitor firm websidestori chart grow populat peopl us firefox browser say responsib slowli erod stranglehold ie juli year accord websidestori internet explorer us web surfer figur remain static year juli ie us populat drop end october stand mozilla foundat claim firefox download almost eight million tim publicli said would happi garner window us net brow populat firefox prov popular moment far few securiti hol internet explorer innovat lack microsoft program instanc firefox allow pag different websit arring tab user switch easili block pop up neat way find text pag let search pag brow one power featur firefox mani hundred extra extension produc mozilla foundat open sourc organi mean creator browser happi other play around cor cod program result mani different add on extension browser includ everyth version familiar googl toolbar homeland securiti monitor keep user awar current threat leve firefox us call firebird phoenix also grow number voca net ba fan campaign co ordinat spread firefox websit attempt rais need full pag advert new york tim campaign set target recruit volunteer ten day campaign peopl sign rais ad due run sometim three week period lat novemberearli december surplu cash us help keep mozilla foundat run microsoft fac grow challeng ie hold web us populat altern browser opera safari amaya even netscap
entertainment,celebriti get skat former england footballer paul gascoign join eastender actress scarlett johnson bbc one strictli ice danc one christma specia also star televi presenter caro smilli jessica taylor liberto x celebriti pair profession skater impress pane judg win audienc vot bbc yet confirm fina two star battl becom ice king queen veteran presenter bruc forsyth tess dali host programm follow hot heel current saturday night seri strictli com danc celebriti practis stipulat ice danc perform ice rink partner judg vot decid win contest ice rink audienc mak rest vot show form part bbc festiv schedu ice skat duo jayn torvil christopher dean front similar celebriti ice danc show itv titl star thin ice contestant star thin ice pair profession skater learn new routin everi week end seri one celebriti crown winner
